"ref_area.label","source.label","indicator.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2015",36.263,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2014",37.759,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2013",36.045,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2012",33.325,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2011",33.21,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2010",34.547,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2009",32.357,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2008",38.654,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2007",34.635,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2006",32.602,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2005",32.923,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2004",32.011,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2003",34.798,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2002",31.572,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2001",31.171,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2000",29.961,,,,"Population coverage: Excluding armed forces and/or conscripts"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2023",35.295,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2022",33.427,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2021",35.451,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2020",32.792,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2019",33.236,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2018",31.591,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2017",31.797,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2016",31.791,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2015",29.683,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2014",30.306,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2013",29.345,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2012",30.075,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2011",27.495,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2010",28.918,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2009",27.349,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2008",28.123,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2007",26.16,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2006",27.918,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2005",26.82,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2004",26.716,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2003",27.376,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2002",29.283,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2001",30.051,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2000",30.032,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Azerbaijan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2022",35.392,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2021",35.451,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2020",34.634,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2019",34.944,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2018",38.07,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2017",34.492,,,,"Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2016",34.858,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2015",35.065,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2014",34.538,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2013",32.99,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Azerbaijan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2012",34.201,,,,"Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
